UKPRN,HE provider,Female,Male,Other,Total
10007773,The Open University,80520,48895,5,129420
10007784,University College London,24525,16555,15,41095
10007798,The University of Manchester,22350,18135,0,40485
10001726,Coventry University,18480,19920,25,38430
10007795,The University of Leeds,21935,14370,25,36330
10004797,The Nottingham Trent University,19745,16010,30,35785
10006840,The University of Birmingham,20635,15100,25,35760
10007790,The University of Edinburgh,21765,13525,85,35375
10007154,University of Nottingham,19080,15670,90,34840
10004180,The Manchester Metropolitan University,19470,13940,15,33420
10007814,Cardiff University,19680,13530,45,33260
10003645,King's College London,20825,11715,575,33110
10007794,The University of Glasgow,19270,12710,490,32465
10005790,Sheffield Hallam University,17110,13850,0,30960
10007164,"University of the West of England, Bristol",16765,13915,5,30680
10007157,The University of Sheffield,16050,13990,15,30055
10006842,The University of Liverpool,16275,13325,0,29600
10001883,De Montfort University,15855,13100,45,29000
10001282,University of Northumbria at Newcastle,14850,13465,10,28325
10007799,Newcastle University,14650,13375,50,28070
10007807,Ulster University,16250,11430,0,27680
10007786,The University of Bristol,15155,12190,30,27375
10007792,The University of Exeter,14475,12410,50,26935
10007140,Birmingham City University,16875,10030,25,26930
10007163,The University of Warwick,13595,13110,125,26825
10007155,The University of Portsmouth,12295,14480,0,26775
10000291,Anglia Ruskin University,16700,9995,20,26715
10007774,The University of Oxford,12855,13040,15,25910
10007147,University of Hertfordshire,14065,11455,0,25520
10003957,Liverpool John Moores University,13585,11465,0,25050
10005343,Queen's University Belfast,14330,10585,0,24915
10007141,The University of Central Lancashire,14245,10470,5,24715
10007805,The University of Strathclyde,12510,11750,70,24330
10003861,Leeds Beckett University,12890,10400,0,23290
10007793,University of South Wales,12735,10285,70,23090
10007158,The University of Southampton,12100,10565,0,22665
10007775,Queen Mary University of London,11815,9840,10,21665
10007156,The University of Salford,11740,9730,30,21500
10007788,The University of Cambridge,10165,11155,20,21340
10007855,Swansea University,9760,10615,0,20375
10004351,Middlesex University,11580,8595,0,20175
10001478,"City, University of London",11400,8570,5,19975
10007162,"University of the Arts, London",15160,4750,55,19965
10007146,The University of Greenwich,11185,8630,10,19825
10007167,The University of York,11035,8735,20,19790
10007851,University of Derby,11755,7860,75,19685
10007143,University of Durham,10560,8955,5,19520
10007165,The University of Westminster,11650,7815,5,19470
10003270,"Imperial College of Science, Technology and Medicine",7885,11510,0,19400
10007806,The University of Sussex,10785,8595,15,19395
10007161,Teesside University,10580,8700,10,19290
10000886,The University of Brighton,11530,7410,50,18985
10007166,The University of Wolverhampton,11760,7100,10,18875
10007802,The University of Reading,10240,8475,15,18735
10007150,The University of Kent,10135,8570,5,18710
10007850,The University of Bath,8615,9930,15,18560
10007801,University of Plymouth,10870,7530,10,18410
10004113,Loughborough University,7500,10795,0,18295
10003678,Kingston University,10255,7740,75,18070
10007789,The University of East Anglia,10665,7335,40,18035
10007762,Glasgow Caledonian University,10185,7350,5,17540
10000824,Bournemouth University,9265,8090,35,17390
10007148,The University of Huddersfield,9990,7285,30,17305
10007160,The University of Surrey,9055,7935,5,16990
10004930,Oxford Brookes University,10040,6835,20,16900
10004078,London South Bank University,9460,7370,10,16840
10007152,University of Bedfordshire,9690,7035,0,16725
10007791,The University of Essex,9175,7330,25,16530
10007151,The University of Lincoln,8875,7540,5,16425
