UKPRN,name
10000291,Anglia Ruskin University
10000385,The Arts University Bournemouth
10000571,Bath Spa University
10000712,University College Birmingham
10000824,Bournemouth University
10000886,The University of Brighton
10000961,Brunel University London
10000975,Buckinghamshire New University
10001143,Canterbury Christ Church University
10001282,University of Northumbria at Newcastle
10001478,The City University
10001653,Conservatoire for Dance and Drama
10001726,Coventry University
10001883,De Montfort University
10002681,Glasgow School of Art
10002718,Goldsmiths College
10003270,"Imperial College of Science, Technology and Medicine"
10023777,Mont Rose College Of Management And Sciences Limited
10003331,Regent's University London
10003614,The University of Winchester
10003645,King's College London
10003678,Kingston University
10003854,Leeds College of Art
10003861,Leeds Beckett University
10003863,Leeds Trinity University
10003945,The Liverpool Institute for Performing Arts
10003956,Liverpool Hope University
10003957,Liverpool John Moores University
10003958,Liverpool School of Tropical Medicine
10004048,London Metropolitan University
10004063,London School of Economics and Political Science
10004078,London South Bank University
10004113,Loughborough University
10004180,The Manchester Metropolitan University
10004351,Middlesex University
10004775,Norwich University of the Arts
10004797,The Nottingham Trent University
10004930,Oxford Brookes University
10005337,"Queen Margaret University, Edinburgh"
10005343,The Queen's University of Belfast
10005389,Ravensbourne
10005415,Redcliffe College
10005470,"Richmond, The American International University in London"
10005500,The Robert Gordon University
10005523,Rose Bruford College
10005545,Royal Agricultural University
10005553,Royal Holloway and Bedford New College
10005561,Royal Conservatoire of Scotland
10005700,SRUC
10005790,Sheffield Hallam University
10006022,Southampton Solent University
10006299,Staffordshire University
10006427,University for the Creative Arts
10006566,The University of West London
10006840,The University of Birmingham
10006841,The University of Bolton
10006842,The University of Liverpool
10007114,University of the Highlands and Islands
10007137,The University of Chichester
10007138,The University of Northampton
10007139,The University of Worcester
10007140,Birmingham City University
10007141,The University of Central Lancashire
10007143,University of Durham
10007144,The University of East London
10007145,University of Gloucestershire
10007146,The University of Greenwich
10007147,University of Hertfordshire
10007148,The University of Huddersfield
10007149,The University of Hull
10007150,The University of Kent
10007151,The University of Lincoln
10007152,University of Bedfordshire
10007154,The University of Nottingham
10007155,The University of Portsmouth
10007156,The University of Salford
10007157,The University of Sheffield
10007158,The University of Southampton
10007159,The University of Sunderland
10007160,The University of Surrey
10007161,Teesside University
10007162,"University of the Arts, London"
10007163,The University of Warwick
10007164,"University of the West of England, Bristol"
10007165,The University of Westminster
10007166,The University of Wolverhampton
10007167,The University of York
10007657,Writtle College
10007713,York St John University
10007759,Aston University
10007760,Birkbeck College
10007761,Courtauld Institute of Art
10007762,Glasgow Caledonian University
10007764,Heriot-Watt University
10007765,Heythrop College
10007767,The University of Keele
10007768,The University of Lancaster
10007772,Edinburgh Napier University
10007773,The Open University
10007774,The University of Oxford
10007775,Queen Mary University of London
10007776,Roehampton University
10007778,Royal College of Music
10007779,The Royal Veterinary College
10007780,The School of Oriental and African Studies
10007782,St George's Hospital Medical School
10007783,The University of Aberdeen
10007784,University College London
10007785,The University of Bradford
10007786,The University of Bristol
10007787,The University of Buckingham
10007788,The University of Cambridge
10007789,The University of East Anglia
10007790,The University of Edinburgh
10007791,The University of Essex
10007792,The University of Exeter
10007793,University of South Wales
10007794,The University of Glasgow
10007795,The University of Leeds
10007796,The University of Leicester
10007798,The University of Manchester
10007799,The University of Newcastle-upon-Tyne
10007800,The University of the West of Scotland
10007801,The University of Plymouth
10007802,The University of Reading
10007803,The University of St Andrews
10007804,The University of Stirling
10007805,The University of Strathclyde
10007806,The University of Sussex
10007807,University of Ulster
10007811,Bishop Grosseteste University
10007812,University of London Institute in Paris
10007814,Cardiff University
10007816,The Royal Central School of Speech and Drama
10007823,Edge Hill University
10007825,Guildhall School of Music and Drama
10007832,Newman University
10007833,Glynd_r University
10007835,Royal Academy of Music
10007837,Royal Northern College of Music
10007842,University of Cumbria
